t,x0,x1,x2,x3,x4,x5,x6,x7
1.148257446289062500e+01,5.097513273358345032e-02,-1.389180123805999756e-02,2.135179674951359630e-04,-1.604689750820398331e-04,1.420449018478393555e-01,-2.529899775981903076e-02,7.998657971620559692e-02,-1.858343929052352905e-02
1.148357391357421875e+01,5.096124112606048584e-02,-1.388801634311676025e-02,2.133575035259127617e-04,-1.603490381967276335e-04,1.420195996761322021e-01,-2.529448643326759338e-02,7.996799796819686890e-02,-1.857912167906761169e-02
1.148457431793212891e+01,5.094735324382781982e-02,-1.388423237949609756e-02,2.131971559720113873e-04,-1.602291886229068041e-04,1.419943124055862427e-01,-2.528997510671615601e-02,7.994941622018814087e-02,-1.857480406761169434e-02
1.148557472229003906e+01,5.093346908688545227e-02,-1.388044934719800949e-02,2.130369248334318399e-04,-1.601094263605773449e-04,1.419690251350402832e-01,-2.528546564280986786e-02,7.993084192276000977e-02,-1.857048831880092621e-02
1.148657417297363281e+01,5.091958865523338318e-02,-1.387666724622249603e-02,2.128768101101741195e-04,-1.599897514097392559e-04,1.419437378644943237e-01,-2.528095617890357971e-02,7.991227507591247559e-02,-1.856617256999015808e-02
1.148757457733154297e+01,5.090571194887161255e-02,-1.387288607656955719e-02,2.127168263541534543e-04,-1.598701637703925371e-04,1.419184505939483643e-01,-2.527644857764244080e-02,7.989370822906494141e-02,-1.856185868382453918e-02
1.148857402801513672e+01,5.089183896780014038e-02,-1.386910583823919296e-02,2.125569590134546161e-04,-1.597506779944524169e-04,1.418931782245635986e-01,-2.527194097638130188e-02,7.987514883279800415e-02,-1.855754479765892029e-02
1.148957443237304688e+01,5.087796971201896667e-02,-1.386532653123140335e-02,2.123972080880776048e-04,-1.596312795300036669e-04,1.418679058551788330e-01,-2.526743337512016296e-02,7.985658943653106689e-02,-1.855323277413845062e-02
1.149057483673095703e+01,5.086410418152809143e-02,-1.386154815554618835e-02,2.122375735780224204e-04,-1.595119683770462871e-04,1.418426334857940674e-01,-2.526292763650417328e-02,7.983803749084472656e-02,-1.854892075061798096e-02
1.149157428741455078e+01,5.085024237632751465e-02,-1.385777164250612259e-02,2.120780554832890630e-04,-1.593927445355802774e-04,1.418173760175704956e-01,-2.525842189788818359e-02,7.981948554515838623e-02,-1.854461058974266052e-02
1.149257469177246094e+01,5.083638429641723633e-02,-1.385399606078863144e-02,2.119186683557927608e-04,-1.592736080056056380e-04,1.417921185493469238e-01,-2.525391802191734314e-02,7.980094105005264282e-02,-1.854030042886734009e-02
1.149357509613037109e+01,5.082252994179725647e-02,-1.385022141039371490e-02,2.117593976436182857e-04,-1.591545587871223688e-04,1.417668610811233521e-01,-2.524941414594650269e-02,7.978240400552749634e-02,-1.853599213063716888e-02
1.149457454681396484e+01,5.080867931246757507e-02,-1.384644769132137299e-02,2.116002433467656374e-04,-1.590355968801304698e-04,1.417416185140609741e-01,-2.524491213262081146e-02,7.976386696100234985e-02,-1.853168569505214691e-02
1.149557495117187500e+01,5.079483240842819214e-02,-1.384267490357160568e-02,2.114412054652348161e-04,-1.589167222846299410e-04,1.417163759469985962e-01,-2.524041011929512024e-02,7.974533736705780029e-02,-1.852737925946712494e-02
1.149657440185546875e+01,5.078098922967910767e-02,-1.383890304714441299e-02,2.112822839990258217e-04,-1.587979495525360107e-04,1.416911333799362183e-01,-2.523590996861457825e-02,7.972680777311325073e-02,-1.852307468652725220e-02
1.149757480621337891e+01,5.076714977622032166e-02,-1.383513212203979492e-02,2.111234789481386542e-04,-1.586792641319334507e-04,1.416658908128738403e-01,-2.523140981793403625e-02,7.970828562974929810e-02,-1.851877011358737946e-02
1.149857521057128906e+01,5.075331404805183411e-02,-1.383136212825775146e-02,2.109648048644885421e-04,-1.585606660228222609e-04,1.416406631469726562e-01,-2.522690966725349426e-02,7.968976348638534546e-02,-1.851446740329265594e-02
1.149957466125488281e+01,5.073948204517364502e-02,-1.382759306579828262e-02,2.108062471961602569e-04,-1.584421552252024412e-04,1.416154354810714722e-01,-2.522241137921810150e-02,7.967124879360198975e-02,-1.851016469299793243e-02
1.150057506561279297e+01,5.072565376758575439e-02,-1.382382493466138840e-02,2.106478059431537986e-04,-1.583237317390739918e-04,1.415902078151702881e-01,-2.521791309118270874e-02,7.965274155139923096e-02,-1.850586384534835815e-02
1.150157546997070312e+01,5.071182921528816223e-02,-1.382005866616964340e-02,2.104894811054691672e-04,-1.582053955644369125e-04,1.415649950504302979e-01,-2.521341666579246521e-02,7.963423430919647217e-02,-1.850156299769878387e-02
1.150257492065429688e+01,5.069800838828086853e-02,-1.381629332900047302e-02,2.103312726831063628e-04,-1.580871467012912035e-04,1.415397822856903076e-01,-2.520892024040222168e-02,7.961573451757431030e-02,-1.849726401269435883e-02
1.150357532501220703e+01,5.068419128656387329e-02,-1.381252892315387726e-02,2.101731806760653853e-04,-1.579689851496368647e-04,1.415145695209503174e-01,-2.520442381501197815e-02,7.959723472595214844e-02,-1.849296502768993378e-02
